Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs ,Rep,Temp
12/25/2016,,,4,4,5,,,,,,,,,3,12
12/27/2016,,,4,4,3,,,,,,,,,3,12
12/29/2016,,,1,2,2,3,,,,,,,,3,12
12/31/2016,,,1,2,2,3,,,,,,,,3,12
1/2/2017,,,,4,1,4,,,,,,,,3,12
1/4/2017,,,,3,1,4,,,,,,,,3,12
1/6/2017,,,,2,2,4,,,,,,,,3,12
1/8/2017,,,,2,2,4,,,,,,,,3,12
1/10/2017,,,1,1,2,4,,,,,,,,3,12
1/12/2017,,,1,1,1,5,,,,,,,,3,12
1/14/2017,,,,1,1,4,,,,,,,,3,12
1/16/2017,,,,1,1,4,,,,,,,,3,12
1/18/2017,,,,1,1,3,1,,,,,,,3,12
1/20/2017,,,,1,1,3,1,,,,,,,3,12
1/22/2017,,,,,2,3,1,,,,,,,3,12
1/24/2017,,,,,2,3,1,,,,,,,3,12
1/26/2017,,,,,1,2,1,1,,,,,,3,12
1/28/2017,,,,,1,2,1,1,,,,,,3,12
1/30/2017,,,,,1,1,1,1,,,,,,3,12
2/1/2017,,,,,1,1,1,1,,,,,,3,12
2/3/2017,,,,,1,1,1,1,,,,,,3,12
2/5/2017,,,,,1,1,1,1,,,,,,3,12
2/7/2017,,,,,,,2,1,,,,,,3,12
2/9/2017,,,,,,,1,,1,1,,,,3,12
2/11/2017,,,,,,,1,,,,,,,3,12
2/13/2017,,,,,,,1,,,,,,,3,12
2/15/2017,,,,,,,1,,,,,,,3,12
2/17/2017,,,,,,,,,,,,,,3,12
3/18/2016,20,,,,,,,,,,20,,,1,14
3/20/2016,40,,,,,,,,,,20,,,1,14
3/22/2016,32,,,,,,,,,,20,,,1,14
3/24/2016,37,,,,,,,,,,20,,,1,14
3/26/2016,53,5,,,,,,,,,20,,,1,14
3/28/2016,62,14,,,,,,,,,20,,,1,14
3/30/2016,71,17,,,,,,,,,20,,,1,14
4/1/2016,83,15,7,,,,,,,,20,,,1,14
4/3/2016,82,10,7,,,,,,,,20,,,1,14
4/5/2016,73,11,12,,,,,,,,20,,,1,14
4/7/2016,75,15,17,,,,,,,,20,,,1,14
4/9/2016,88,18,17,,,,,,,,20,,,1,14
4/11/2016,82,17,14,,,,,,,,20,,,1,14
4/13/2016,67,20,9,8,,,,,,,20,,,1,14
4/15/2016,87,10,17,7,2,,,,,,20,,,1,14
4/17/2016,103,13,17,4,2,,,,,,20,,,1,14
4/19/2016,88,11,17,6,4,,,,,,20,,,1,14
4/21/2016,87,6,14,5,6,,,,,,20,,,1,14
4/23/2016,66,8,10,8,6,1,,,,,20,,,1,14
4/25/2016,71,14,9,3,7,1,,,,,20,,,1,14
4/27/2016,67,15,10,5,4,2,,,,,20,,,1,14
4/29/2016,71,9,18,5,4,4,,,,,20,,,1,14
5/1/2016,80,14,13,4,5,4,,,,,,,,1,14
5/3/2016,70,10,16,3,4,6,,,,,,,,1,14
5/5/2016,58,10,16,4,3,6,,,,,,,,1,14
5/7/2016,41,10,15,4,4,7,,,,,,,,1,14
5/9/2016,35,13,19,3,6,7,,,,,,,,1,14
5/11/2016,28,6,16,5,5,8,,,,,,,,1,14
5/13/2016,25,9,16,5,4,8,,1,,,,,,1,14
5/15/2016,24,9,14,3,5,8,,1,,,,,,1,14
5/17/2016,12,9,15,5,4,6,1,1,,,,,,1,14
5/19/2016,7,6,13,5,4,5,,2,,,,,,1,14
5/21/2016,4,6,12,3,4,6,,2,,,,,,1,14
5/23/2016,1,4,10,3,5,5,1,2,,,,,,1,14
5/25/2016,,,9,5,2,5,1,2,,,,,,1,14
5/27/2016,,,6,4,4,3,1,1,,1,,,,1,14
5/29/2016,,,5,4,5,3,1,1,,,,,,1,14
5/31/2016,,,3,5,4,4,,,1,1,,,,1,14
6/2/2016,,,3,5,3,4,,,,,,,,1,14
6/4/2016,,,1,4,4,5,,,,,,,,1,14
6/6/2016,,,1,5,3,6,,,,,,,,1,14
6/8/2016,,,3,1,3,4,,,,,,,,1,14
6/10/2016,,,,1,3,5,,,,,,,,1,14
6/12/2016,,,,1,3,4,,,,,,,,1,14
6/14/2016,,,,1,2,4,,,,,,,,1,14
6/16/2016,,,,1,1,5,,,,,,,,1,14
6/18/2016,,,,1,1,5,,,,,,,,1,14
6/20/2016,,,,,,6,,,,,,,,1,14
6/22/2016,,,,,,5,,,,,,,,1,14
6/24/2016,,,,,,5,,,,,,,,1,14
6/26/2016,,,,,,4,,,,1,,,,1,14
6/28/2016,,,,,,4,,,,,,,,1,14
6/30/2016,,,,,,3,,,,,,,,1,14
7/2/2016,,,,,,2,1,,,,,,,1,14
7/4/2016,,,,,,2,1,,,,,,,1,14
7/6/2016,,,,,,2,1,,,,,,,1,14
7/8/2016,,,,,,1,1,,,,,,,1,14
7/10/2016,,,,,,1,1,,,,,,,1,14
7/12/2016,,,,,,1,1,,,,,,,1,14
7/14/2016,,,,,,1,1,,,,,,,1,14
7/16/2016,,,,,,,,,1,,,,,1,14
5/25/2016,,,,,,,,,,,20,,,2,14
5/27/2016,20,,,,,,,,,,20,,,2,14
5/29/2016,29,1,,,,,,,,,20,,,2,14
5/31/2016,46,1,,,,,,,,,20,,,2,14
6/2/2016,44,11,,,,,,,,,20,,,2,14
6/4/2016,45,15,,,,,,,,,20,,,2,14
6/6/2016,43,9,8,,,,,,,,20,,,2,14
6/8/2016,62,7,9,,,,,,,,20,,,2,14
6/10/2016,64,6,10,,,,,,,,20,,,2,14
6/12/2016,105,3,11,,,,,,,,20,,,2,14
6/14/2016,57,12,6,,,,,,,,20,,,2,14
6/16/2016,40,13,10,,,,,,,,20,,,2,14
6/18/2016,40,11,12,,,,,,,,20,,,2,14
6/20/2016,48,16,10,,,,,,,,20,,,2,14
6/22/2016,47,13,12,,,,,,,,20,,,2,14
6/24/2016,46,13,16,2,,,,,,,20,,,2,14
6/26/2016,42,10,21,2,,,,,,,20,,,2,14
6/28/2016,32,14,22,2,,,,,,,20,,,2,14
6/30/2016,23,18,25,3,,,,,,,20,,,2,14
7/2/2016,22,22,20,5,,,,,,,20,,,2,14
7/4/2016,29,13,21,8,1,,,,,,,,,2,14
7/6/2016,,14,21,5,1,,,,,,,,,2,14
7/8/2016,,10,23,6,,,,,,,,,,2,14
7/10/2016,27,4,15,9,4,,,,,,,,,2,14
7/12/2016,28,6,13,8,4,,,,,,,,,2,14
7/14/2016,31,3,14,7,5,,,,,,,,,2,14
7/16/2016,27,3,12,6,6,,,,,,,,,2,14
7/18/2016,33,6,8,9,3,1,,,,,,,,2,14
7/20/2016,23,4,8,5,7,1,,,,,,,,2,14
7/22/2016,17,5,8,5,6,2,,,,,,,,2,14
7/24/2016,4,4,6,2,9,4,,,,,,,,2,14
7/26/2016,3,4,5,3,9,4,,,,,,,,2,14
7/28/2016,2,7,4,3,7,5,,,,,,,,2,14
7/30/2016,,7,4,3,6,4,,,,,,,,2,14
8/1/2016,,3,3,6,3,5,,,,,,,,2,14
8/3/2016,,2,4,4,3,5,,,,,,,,2,14
8/5/2016,,1,4,4,2,7,,,,,,,,2,14
8/7/2016,,,4,4,2,7,,,,,,,,2,14
8/9/2016,,,4,3,2,7,,,,,,,,2,14
8/11/2016,,,3,2,1,6,,,,,,,,2,14
8/13/2016,,,3,3,2,5,1,,,,,,,2,14
8/15/2016,,,3,2,3,6,1,,,,,,,2,14
8/17/2016,,,2,2,1,7,1,1,,,,,,2,14
8/19/2016,,,,2,3,5,2,1,,,,,,2,14
8/21/2016,,,,2,2,5,2,,,1,,,,2,14
8/23/2016,,,,2,2,4,3,,,1,,,,2,14
8/25/2016,,,,1,3,4,3,,,,,,,2,14
8/27/2016,,,,,3,5,2,,1,,,,,2,14
8/29/2016,,,,,2,5,2,,,,,,,2,14
8/31/2016,,,,,2,4,2,,,,,,,2,14
9/2/2016,,,,,1,5,2,,,,,,,2,14
9/4/2016,,,,,1,4,2,,1,,,,,2,14
9/6/2016,,,,,,3,1,,1,,,,,2,14
9/8/2016,,,,,,3,1,,,,,,,2,14
9/10/2016,,,,,,2,1,,,,,,,2,14
9/12/2016,,,,,,2,,,1,,,,,2,14
9/14/2016,,,,,,2,,,,,,,,2,14
9/16/2016,,,,,,2,,,,,,,,2,14
9/18/2016,,,,,,1,,1,,,,,,2,14
9/20/2016,,,,,,1,,1,,,,,,2,14
9/22/2016,,,,,,,,1,,1,,,,2,14
9/24/2016,,,,,,,,1,,,,,,2,14
9/26/2016,,,,,,,,1,,,,,,2,14
9/28/2016,,,,,,,,1,,,,,,2,14
9/30/2016,,,,,,,,,,1,,,,2,14
10/2/2016,,,,,,,,,,,,,,2,14
10/20/2016,,,,,,,,,,,20,,,3,14
10/22/2016,17,,,,,,,,,,20,,,3,14
10/24/2016,39,,,,,,,,,,20,,,3,14
10/26/2016,52,,,,,,,,,,20,,,3,14
10/28/2016,68,,,,,,,,,,20,,,3,14
10/30/2016,78,9,,,,,,,,,20,,,3,14
11/1/2016,63,11,4,,,,,,,,20,,,3,14
11/3/2016,53,11,9,,,,,,,,20,,,3,14
11/5/2016,61,5,12,,,,,,,,20,,,3,14
11/7/2016,51,10,11,,,,,,,,20,,,3,14
11/9/2016,43,10,13,,,,,,,,20,,,3,14
11/11/2016,43,15,13,,,,,,,,20,,,3,14
11/13/2016,31,9,17,,,,,,,,20,,,3,14
11/15/2016,49,6,15,2,,,,,,,20,,,3,14
11/17/2016,47,8,13,2,,,,,,,20,,,3,14
11/19/2016,43,10,13,3,,,,,,,20,,,3,14
11/21/2016,29,10,16,3,,,,,,,20,,,3,14
11/23/2016,27,13,15,5,,,,,,,20,,,3,14
11/25/2016,24,13,12,5,1,,,,,,20,,,3,14
11/27/2016,13,10,11,3,1,,,,,,20,,,3,14
11/29/2016,23,6,12,3,2,,,,,,20,,,3,14
12/1/2016,20,5,13,3,3,,,,,,20,,,3,14
12/3/2016,24,4,8,4,4,,,,,,,,,3,14
12/5/2016,16,3,10,3,5,,,,,,,,,3,14
12/7/2016,6,2,10,4,3,2,,,,,,,,3,14
12/9/2016,2,7,9,3,5,3,,,,,,,,3,14
12/11/2016,,8,6,4,4,3,,,,,,,,3,14
12/13/2016,,5,6,3,4,3,,,,,,,,3,14
12/15/2016,,4,7,4,2,4,,,,,,,,3,14
12/17/2016,,,12,1,1,7,,,,,,,,3,14
12/19/2016,,,10,1,2,7,,,,,,,,3,14
12/21/2016,,,10,2,,5,,,,,,,,3,14
12/23/2016,,,6,5,1,5,,,,,,,,3,14
12/25/2016,,,6,3,1,3,,1,,,,,,3,14
12/27/2016,,,2,5,1,4,,1,,,,,,3,14
12/29/2016,,,,4,3,3,,1,,,,,,3,14
12/31/2016,,,,2,3,1,1,1,,,,,,3,14
1/2/2017,,,,2,3,,2,1,,,,,,3,14
1/4/2017,,,,2,3,,2,,,1,,,,3,14
1/6/2017,,,,2,3,,2,1,,,,,,3,14
1/8/2017,,,,1,1,3,1,1,1,,,,,3,14
1/10/2017,,,,1,1,3,1,1,,,,,,3,14
1/12/2017,,,,,2,3,,,1,1,,,,3,14
1/14/2017,,,,,2,3,,,,,,,,3,14
1/16/2017,,,,,2,3,,,,,,,,3,14
1/18/2017,,,,,2,3,,,,,,,,3,14
1/20/2017,,,,,1,4,,,,,,,,3,14
1/22/2017,,,,,1,3,1,,,,,,,3,14
1/24/2017,,,,,,3,2,,,,,,,3,14
1/26/2017,,,,,,3,2,1,,,,,,3,14
1/28/2017,,,,,,3,2,1,,,,,,3,14
1/30/2017,,,,,,3,2,1,,,,2,"43,88",3,14
2/1/2017,,,,,,2,2,,,1,,,,3,14
2/3/2017,,,,,,2,2,,,,,,,3,14
2/5/2017,,,,,,1,2,,1,,,,,3,14
2/7/2017,,,,,,1,2,,,,,,,3,14
2/9/2017,,,,,,1,2,,,,,,,3,14
2/11/2017,,,,,,,2,1,,,,,,3,14
2/13/2017,10,,,,,,1,1,1,,,,,3,14
2/15/2017,34,,,,,,1,1,,,,,,3,14
2/17/2017,29,,,,,,1,1,,,,,,3,14
2/19/2017,19,,,,,,1,1,,,,,,3,14
2/21/2017,15,2,,,,,,1,1,,,,,3,14
2/23/2017,16,5,,,,,,,,1,,,,3,14
2/25/2017,4,13,,,,,,,,,,,,3,14
2/27/2017,,9,,,,,,,,,,,,3,14
3/1/2017,,8,,,,,,,,,,,,3,14
3/3/2017,,5,2,,,,,,,,,,,3,14
3/5/2017,,,6,,,,,,,,,,,3,14
3/7/2017,,,6,,,,,,,,,,,3,14
3/9/2017,,,6,,,,,,,,,,,3,14
3/11/2017,,,6,,,,,,,,,,,3,14
3/13/2017,,,5,1,,,,,,,,,,3,14
3/15/2017,,,5,1,,,,,,,,,,3,14
3/17/2017,,,5,1,,,,,,,,,,3,14
3/19/2017,,,4,1,,,,,,,,,,3,14
3/21/2017,,,2,3,,,,,,,,,,3,14
3/23/2017,,,2,3,,,,,,,,,,3,14
3/25/2017,,,1,2,1,,,,,,,,,3,14
3/27/2017,,,1,2,2,,,,,,,,,3,14
3/29/2017,,,,1,3,,,,,,,,,3,14
3/31/2017,,,,1,4,,,,,,,,,3,14
4/2/2017,,,,2,1,,,,,,,,,3,14
4/4/2017,,,,1,,1,,,,,,,,3,14
4/6/2017,,,,1,,1,,,,,,,,3,14
4/8/2017,,,,,1,1,,,,,,,,3,14
4/10/2017,,,,,1,1,,,,,,,,3,14
4/12/2017,,,,,1,1,,,,,,,,3,14
4/14/2017,,,,,1,1,,,,,,,,3,14
4/16/2017,,,,,,2,,,,,,,,3,14
4/18/2017,,,,,,2,,,,,,,,3,14
4/20/2017,,,,,,2,,,,,,,,3,14
4/22/2017,,,,,,2,,,,,,,,3,14
4/24/2017,,,,,,1,,1,,,,,,3,14
4/26/2017,,,,,,1,,1,,,,,,3,14
4/28/2017,,,,,,1,,1,,,,,,3,14
4/30/2017,,,,,,1,,1,,,,,,3,14
5/2/2017,,,,,,1,,1,,,,,,3,14
5/4/2017,,,,,,,1,1,,,,,,3,14
5/6/2017,,,,,,,1,1,,,,,,3,14
5/8/2017,,,,,,,1,,,1,,,,3,14
5/10/2017,,,,,,,,,1,,,,,3,14
3/18/2016,20,,,,,,,,,,20,,,1,16
3/20/2016,40,,,,,,,,,,20,,,1,16
3/22/2016,37,,,,,,,,,,20,,,1,16
3/24/2016,46,,,,,,,,,,20,,,1,16
3/26/2016,68,4,,,,,,,,,20,,,1,16
3/28/2016,86,12,,,,,,,,,20,,,1,16
3/30/2016,91,15,2,,,,,,,,20,,,1,16
4/1/2016,79,31,8,,,,,,,,20,,,1,16
4/3/2016,73,19,22,,,,,,,,20,,,1,16
4/5/2016,81,14,28,,,,,,,,20,,,1,16
4/7/2016,71,17,28,,,,,,,,20,,,1,16
4/9/2016,83,18,22,3,,,,,,,20,,,1,16
4/11/2016,84,19,23,4,,,,,,,20,,,1,16
4/13/2016,72,18,13,12,,,,,,,20,,,1,16
4/15/2016,80,22,16,10,5,,,,,,20,,,1,16
4/17/2016,98,29,28,7,4,,,,,,20,,,1,16
4/19/2016,73,24,24,2,11,,,,,,20,,,1,16
4/21/2016,78,24,28,4,8,,,,,,20,,,1,16
4/23/2016,71,18,24,7,6,4,,,,,20,,,1,16
4/25/2016,75,25,28,7,7,6,,,,,20,,,1,16
4/27/2016,73,19,23,10,5,8,,,,,20,,,1,16
4/29/2016,77,17,24,6,8,10,,,,,20,,,1,16
5/1/2016,74,24,25,5,9,10,,1,,,,,,1,16
5/3/2016,67,10,25,10,8,6,2,3,,,,,,1,16
5/5/2016,56,11,25,9,6,8,2,3,,,,,,1,16
5/7/2016,47,14,21,9,7,8,2,2,,1,,,,1,16
5/9/2016,37,24,21,8,6,10,2,2,,,,,,1,16
5/11/2016,31,10,28,6,10,9,3,2,,,,,,1,16
5/13/2016,27,6,29,8,7,11,1,2,2,,,,,1,16
5/15/2016,26,4,30,5,8,13,1,3,,,,,,1,16
5/17/2016,20,4,22,6,6,14,,2,1,1,,,,1,16
5/19/2016,10,7,22,6,6,14,1,1,,,,,,1,16
5/21/2016,1,17,17,4,5,13,3,2,,,,1,42,1,16
5/23/2016,2,5,21,5,4,13,4,1,1,,,3,"85, 44, 37",1,16
5/25/2016,,2,21,2,5,14,4,,,1,,1,43,1,16
5/27/2016,,1,13,7,4,11,5,1,1,,,5,"28, 43, 56, 47, 138",1,16
5/29/2016,,1,11,8,2,13,4,,,,,,,1,16
5/31/2016,,,11,3,6,10,3,3,2,,,1,63,1,16
6/2/2016,,,10,3,4,12,3,2,,1,,,,1,16
6/4/2016,,,8,2,5,10,3,4,1,,,3,"62, 55, 51",1,16
6/6/2016,28,,3,4,2,12,3,2,1,2,,4,"205, 41, 23, 54",1,16
6/8/2016,178,1,,3,5,9,3,3,1,,,1,43,1,16
6/10/2016,90,20,,1,5,,2,1,2,2,,1,55,1,16
6/12/2016,21,61,9,,3,7,1,4,2,,,1,55,1,16
6/14/2016,48,20,41,,2,7,1,3,,1,,,,1,16
6/16/2016,154,16,40,,,6,1,2,,2,,,,1,16
6/18/2016,98,13,40,,,4,1,2,,,,,,1,16
6/20/2016,42,47,36,6,,2,2,1,,2,,1,37,1,16
6/22/2016,20,43,30,13,2,,3,1,1,,,,,1,16
